"x","y"
-5.95398,-3.6527e-21
-5.84493,-6.6303e-21
-5.63264,1.37693e-20
-5.23071,4.34127e-21
-4.46971,1.39692e-15
-3.11007,1.99112e-11
-1.5135,1.26483e-10
0.0830662,1.19279e-09
1.67964,2.2298e-08
3.27621,7.31775e-08
4.87278,1.3873e-07
6.46935,2.11831e-07
8.06592,2.89187e-07
9.66249,3.69096e-07
11.2591,4.50611e-07
12.8556,5.332e-07
14.4522,6.16478e-07
16.0488,7.00264e-07
17.6453,7.84396e-07
19.2419,8.68783e-07
20.8385,9.53348e-07
22.435,1.03805e-06
24.0316,1.12286e-06
25.6282,1.20775e-06
27.2248,1.2927e-06
28.8213,1.37771e-06
30.4179,1.46277e-06
32.0145,1.54786e-06
33.611,1.63299e-06
35.2076,1.71813e-06
36.8042,1.80329e-06
38.4007,1.88848e-06
39.9973,1.97368e-06
41.5939,2.05889e-06
43.1905,2.14412e-06
44.787,2.22936e-06
46.3836,2.3146e-06
47.9802,2.39986e-06
49.5767,2.48514e-06
50.01,2.50828e-06

